"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Nathan Eovaldi","- - -","6","7","0","22","21","111.0","8.19","1.62","1.14",".287","67.3 %","45.6 %","12.2 %","3.81","3.60","3.67","2.2","9132"
"Zach Eflin","Phillies","11","8","0","24","24","128.0","8.65","2.60","1.13",".309","68.4 %","41.2 %","11.2 %","4.36","3.80","4.02","2.2","13774"
"Mike Minor","Rangers","12","8","0","28","28","157.0","7.57","2.18","1.43",".259","72.5 %","34.4 %","12.1 %","4.18","4.43","4.53","2.2","10021"
"Carlos Martinez","Cardinals","8","6","5","33","18","118.2","8.87","4.55","0.38",".290","75.0 %","49.1 %","4.9 %","3.11","3.53","4.42","2.2","11682"
"Joe Musgrove","Pirates","6","9","0","19","19","115.1","7.80","1.79","0.94",".294","69.2 %","45.5 %","10.2 %","4.06","3.59","3.92","2.1","12970"
"Derek Holland","Giants","7","9","0","36","30","171.1","8.88","3.52","1.00",".288","76.1 %","39.8 %","11.2 %","3.57","3.87","4.07","2.0","4141"
"Hyun-Jin Ryu","Dodgers","7","3","0","15","15","82.1","9.73","1.64","0.98",".281","85.4 %","45.8 %","11.8 %","1.97","3.00","3.11","2.0","14444"
"Matthew Boyd","Tigers","9","13","0","31","31","170.1","8.40","2.69","1.43",".258","71.1 %","29.0 %","11.2 %","4.39","4.45","4.72","2.0","15440"
"Felipe Vazquez","Pirates","4","2","37","70","0","70.0","11.44","3.09","0.51",".331","77.7 %","42.8 %","6.9 %","2.70","2.43","3.06","2.0","12076"
"Adam Ottavino","Rockies","6","4","6","75","0","77.2","12.98","4.17","0.58",".240","76.3 %","43.0 %","8.6 %","2.43","2.74","3.13","2.0","1247"
"Jose Alvarado","Rays","1","6","8","70","0","64.0","11.25","4.08","0.14",".270","72.2 %","55.0 %","2.4 %","2.39","2.27","3.15","2.0","17780"
"Reynaldo Lopez","White Sox","7","10","0","32","32","188.2","7.20","3.58","1.19",".260","75.4 %","33.0 %","9.5 %","3.91","4.63","5.22","2.0","16400"
"Gio Gonzalez","- - -","10","11","0","32","32","171.0","7.79","4.21","0.89",".301","73.3 %","45.3 %","10.4 %","4.21","4.16","4.44","2.0","7448"
"Jake Arrieta","Phillies","10","11","0","31","31","172.2","7.19","2.97","1.09",".287","68.1 %","51.6 %","14.3 %","3.96","4.26","4.08","2.0","4153"
"Cole Hamels","- - -","9","12","0","32","32","190.2","8.87","3.07","1.37",".291","76.1 %","45.0 %","17.5 %","3.78","4.49","3.95","2.0","4972"
"Trevor Cahill","Athletics","7","4","0","21","20","110.0","8.18","3.35","0.65",".277","67.3 %","53.4 %","10.0 %","3.76","3.54","3.80","2.0","6249"
"Tyler Anderson","Rockies","7","9","0","32","32","176.0","8.39","3.02","1.53",".281","71.9 %","36.7 %","15.2 %","4.55","4.57","4.21","2.0","12880"
"Tanner Roark","Nationals","9","15","0","31","30","180.1","7.29","2.50","1.20",".296","72.8 %","40.7 %","11.7 %","4.34","4.27","4.42","1.9","8753"
